e	int	void	if	else	switch	while	break	default	case	return	id	num	+	-	*	=	==	<	,	;	(	)	{	}	[	]	$
Term_zegond	.	.	.	.	.	.	.	.	.	.	.	Signed_factor_zegond`G	Signed_factor_zegond`G	Signed_factor_zegond`G	.	.	synch	synch	synch	synch	Signed_factor_zegond`G	synch	.	.	.	synch	.
G	.	.	.	.	.	.	.	.	.	.	.	.	e	e	*`Signed_factor`G	.	e	e	e	e	.	e	.	.	.	e	.
Signed_factor	.	.	.	.	.	.	.	.	.	.	Factor	Factor	"+"`Factor	"-"`Factor	synch	.	synch	synch	synch	synch	Factor	synch	.	.	.	synch	.
Signed_factor_prime	.	.	.	.	.	.	.	.	.	.	.	.	Factor_prime	Factor_prime	Factor_prime	.	Factor_prime	Factor_prime	Factor_prime	Factor_prime	Factor_prime	Factor_prime	.	.	.	Factor_prime	.
Signed_factor_zegond	.	.	.	.	.	.	.	.	.	.	.	Factor_zegond	"+"`Factor	"-"`Factor	synch	.	synch	synch	synch	synch	Factor_zegond	synch	.	.	.	synch	.
Factor	.	.	.	.	.	.	.	.	.	.	id`Var_call_prime	num	synch	synch	synch	.	synch	synch	synch	synch	(`Expression`)	synch	.	.	.	synch	.
Var_call_prime	.	.	.	.	.	.	.	.	.	.	.	.	Var_prime	Var_prime	Var_prime	.	Var_prime	Var_prime	Var_prime	Var_prime	(`Args`)	Var_prime	.	.	Var_prime	Var_prime	.
Var_prime	.	.	.	.	.	.	.	.	.	.	.	.	e	e	e	.	e	e	e	e	.	e	.	.	[`Expression`]	e	.
Factor_prime	.	.	.	.	.	.	.	.	.	.	.	.	e	e	e	.	e	e	e	e	(`Args`)	e	.	.	.	e	.
Factor_zegond	.	.	.	.	.	.	.	.	.	.	.	num	synch	synch	synch	.	synch	synch	synch	synch	(`Expresion`)`	synch	.	.	.	synch	.
Args	.	.	.	.	.	.	.	.	.	.	Arg_list	Arg_list	Arg_list	Arg_list	.	.	.	.	.	.	Arg_list	e	.	.	.	.	.
Arg_list	.	.	.	.	.	.	.	.	.	.	Expression`Arg_list_prime	Expression`Arg_list_prime	Expression`Arg_list_prime	Expression`Arg_list_prime	.	.	.	.	.	.	Expression`Arg_list_prime	synch	.	.	.	.	.
Arg_list_prime	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	,`Expression`Arg_list_prime	.	.	e	.	.	.	.	.
